Location,Date,Description,Weaponry,Casulties,Shot Down
Aalma Ech Chaab,16-06-2024,"On 16 June 2024, the Israeli military fired artillery shells in the vicinity of Aalma Ech Chaab town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Ed Dhayra,16-06-2024,"On 16 June 2024, the Israeli military fired artillery shells in the vicinity of Ed Dhayra town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Hamoul,16-06-2024,"On 16 June 2024, the Israeli military fired artillery and incendiary shells in the vicinity of Hamoul town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Ras al Naqoura,16-06-2024,"Interception: On 16 June 2024, the Israeli military fired interceptory missiles to intercept projectiles believed to be fired by Hezbollah over Ras al Naqoura town (Tyr, South). There were no casualties.",missiles,0,0
Ras al Naqoura,16-06-2024,"On 16 June 2024, the Israeli military fired artillery and incendiary shells in the vicinity of Ras al Naqoura town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Yarine,16-06-2024,"On 16 June 2024, the Israeli military fired artillery shells in the vicinity of Yarine town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Zalloutieh,16-06-2024,"On 16 June 2024, the Israeli military fired artillery shells in the vicinity of Zalloutieh town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Mhaibib,16-06-2024,"On 16 June 2024, Israeli warplanes carried out an airstrike in Mhaibib town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah in the area. There were no casualties.",airstrike,0,0
Yaroun,16-06-2024,"On 16 June 2024, Israeli warplanes carried out an airstrike in Yaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. At around 7:30 PM, the Israeli military fired artillery shells towards the town. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",airstrike,0,0
Aita ech Chaab,16-06-2024,"On 16 June 2024, Israeli warplanes carried out an airstrike in Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Aitaroun,16-06-2024,"On 16 June 2024, an Israeli drone fired several missiles and the Israeli military fired three 175mm artillery shells in the vicinity of Aitaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",drone,0,0
Blida,16-06-2024,"On 16 June 2024, Israeli warplanes carried out an airstrike in Blida town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Kfar Kila,16-06-2024,"On 16 June 2024, Israeli warplanes carried out an airstrike and the Israeli military fired artillery and mortar shells towards Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",mortar,0,0
Taybeh,16-06-2024,"On 16 June 2024, Israeli warplanes carried out an airstrike with two missiles in Taybeh town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The two fired missiles did not explode. An Israeli drone also carried out a strike with several missiles in the town. There were no casualties.",drone,0,0
Aita ech Chaab,15-06-2024,"On 15 June 2024, the Israeli military fired artillery shells in the vicinity of Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Bent Jbeil,15-06-2024,"On 15 June 2024, an Israeli drone struck a motorcycle between Aitaroun and Bent Jbeil (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. One PIJ member was killed and a Hezbollah member was injured in the strike.",drone,1,0
Aitaroun,15-06-2024,"On 15 June 2024, the Israeli military fired artillery shells towards Aitaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The shelling led to the break out of multiple fires in the area. There were no casualties.",shells,0,0
Al Wazzani,15-06-2024,"On 15 June 2024, the Israeli military fired artillery shells targeting the outskirts of Al Wazzani town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Blida,15-06-2024,"On 15 June 2024, the Israeli military used machine gunfire towards members of the Civil Defense, including the Islamic Risala Scout Association in the vicinity of Blida (Marjayoun, Al Nabatieh). There were no casualties.",machine gunfire,0,0
Chebaa,15-06-2024,"On 15 June 2024, the Israeli military fired artillery and incendiary shells towards Chebaa town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. The shelling led to the break out of multiple fires in the area. There were no casualties.",shells,0,0
Deir Mimas,15-06-2024,"On 15 June 2024, the Israeli military fired white phosphorus shells in the vicinity of Deir Mimas town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties. International organizations have accused Israel of using white phosphorous bombs during the current war between Hezbollah and Israel.",shells,0,0
Kfar Qouq,15-06-2024,"Defusal: On 15 June 2024, a special unit of the LAF carried out a controlled detonation of an Israeli drone in Kfar Qouq town (Rashayya, Bekaa). There were no casualties.",drone,0,0
Aaziyyeh,15-06-2024,"On 15 June 2024, the Israeli military fired white phosphorus shells in the hills of Aaziyyeh town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties. International organizations have accused Israel of using white phosphorous bombs during the current war between Hezbollah and Israel.",shells,0,0
Jabal Blat,15-06-2024,"On 15 June 2024, the Israeli military fired artillery shells targeting outskirts of the Jabal Blat (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Majdel Zoun,15-06-2024,"On 15 June 2024, the Israeli military fired white phosphorus and incendiary shells in the vicinity of Majdel Zoun (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties. International organizations have accused Israel of using white phosphorous bombs during the current war between Hezbollah and Israel.",shells,0,0
Qatrani,15-06-2024,"On 15 June 2024, the Israeli military fired white phosphorus shells in the vicinity of Qatrani town (Jezzine, South) amid ongoing hostilities with Hezbollah. There were no casualties. International organizations have accused Israel of using white phosphorous bombs during the current war between Hezbollah and Israel.",shells,0,0
Ras al Naqoura,15-06-2024,"On 15 June 2024, the Israeli military fired white phosphorus and incendiary shells in the vicinity of Ras al Naqoura (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties. International organizations have accused Israel of using white phosphorous bombs during the current war between Hezbollah and Israel.",shells,0,0
Ras al Naqoura,15-06-2024,"On 15 June 2024, the Israeli military fired artillery shells targeting outskirts of the Ras al Naqoura (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aita ech Chaab,15-06-2024,"On 15 June 2024, Israeli warplanes carried out an airstrike in Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",airstrike,0,0
Aitaroun,15-06-2024,"On 15 June 2024, an Israeli drone fired three guided missiles in the vicinity of Aitaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military also fired incendiary shells in the vicinity of the town. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",drone,0,0
Kfar Kila,15-06-2024,"On 15 June 2024, Israeli warplanes carried out an airstrike and the Israeli military fired mortar shells towards Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",mortar,0,0
Ain Zarqa,14-06-2024,"On 14 June 2024, the Israeli military fired artillery shells towards Ain Zarqa town (Tyr, South) amid ongoing hostiltiies with Hezbollah. There were no casualties.",shells,0,0
Aadayseh Marjayoun,14-06-2024,"On 14 June 2024, Israeli warplanes carried out two airstrikes in Aadayseh Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli army announced that it struck military infrastructure for Hezbollah in the town. There were no casualties.",airstrike,0,0
Aadayseh Marjayoun,14-06-2024,"On 14 June 2024, the Israeli military fired white phosphorus shells in the vicinity of Aadayseh Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostiltiies with Hezbollah. There were no casualties. International organizations have accused Israel of using white phosphorous bombs during the current war between Hezbollah and Israel.",shells,0,0
Aita ech Chaab,14-06-2024,"On 14 June 2024, Israeli warplanes carried out an airstrike targeting Abo Tawil neighborhood in Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Aita ech Chaab,14-06-2024,"On 14 June 2024, the Israeli military fired artillery shells in the vicinity of Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostiltiies with Hezbollah. There were no casualties.",shells,0,0
Aitaroun,14-06-2024,"On 14 June 2024, an Israeli drone fired several missiles targeting Bab Al Hasel and Al Mahafer areas in Aitaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The strike led to the breakout of several fires in the area. The Israeli army announced that it struck military infrastructure for Hezbollah in the town. Two individuals were injured in the strikes.",drone,1,0
Al Wazzani,14-06-2024,"On 14 June 2024, an Israeli drone dropped incendiary bombs in Al Wazzani town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",drone,0,0
Bani Haiyan,14-06-2024,"On 14 June 2024, the Israeli military fired artillery and white phosphorus shells in the vicinity of Bani Haiyan town (Marjayoun, Al Nabatieh) amid ongoing hostiltiies with Hezbollah. There were no casualties.",shells,0,0
Chebaa,14-06-2024,"On 14 June 2024, the Israeli military fired artillery shells in the vicinity of Chebaa town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Deir Mimas,14-06-2024,"On 14 June 2024, the Israeli military fired artillery shells in the vicinity of Deir Mimas town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Houla,14-06-2024,"On 14 June 2024, Israeli warplanes carried out an airstrike in Houla town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military also fired white phosphorus shells targeting Civil Defense teams trying to extinguish fires in the town. The Israeli army announced that it struck military infrastructure for Hezbollah in the town. There were no casualties. International organizations have accused Israel of using white phosphorous bombs during the current war between Hezbollah and Israel.",airstrike,0,0
Houla,14-06-2024,"On 14 June 2024, the Israeli military fired white phosphorus shells in the vicinity of Houla town (Marjayoun, Al Nabatieh) amid ongoing hostiltiies with Hezbollah. The Israeli military also fired white phosphorus shells targeting Civil Defense teams trying to extinguish fires in the area. There were no casualties. International organizations have accused Israel of using white phosphorous bombs during the current war between Hezbollah and Israel.",shells,0,0
Kfar Chouba,14-06-2024,"On 14 June 2024, Hezbollah fired several missiles targeting Israeli soldiers at the Ramtha and Al Samaka Israeli military sites in Kfar Chouba hills (Hasbeiya, Al Nabatieh). The group announced it had achieved direct hits. The Israeli military responded with artillery shells targeting civil defense teams to prevent them from extinguishing fires in the vicinity of the town. There were no casualties.",missiles,0,0
Kfar Chouba,14-06-2024,"On 14 June 2024, an Israeli Merkava tank fired two shells targeting an unoccupied house on the outskirts of Kfar Chouba town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kfar Kila,14-06-2024,"On 14 June 2024, Israeli warplanes carried out an airstrike and the Israeli military fired heavy artillery and white phosphorus shells targeting a house in Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli army announced that it struck military infrastructure for Hezbollah in the town. There were no casualties. International organizations have accused Israel of using white phosphorous bombs during the current war between Hezbollah and Israel.",airstrike,0,0
